Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,Assault (Homicide)
42.2,4.8,43.4,29.4,11993,21.3,45.1
15.7,2,22.9,13.4,39596,6,8.5
55.5,4.5,38.2,33.7,9016,40,49.6
27,5.7,39,25,15920,21,34.4
61.4,5.1,50.2,24.6,8535,26.4,33
40.3,8.9,42.5,26.2,10951,25.2,40
26.1,1.6,31,16.9,23098,16.7,13.6
11.1,2,15.5,3.4,67699,4.2,0.7
13.4,2,23.3,3.4,87163,5.2,3.7
18.2,2.5,26.7,5.3,39243,6.9,5.8
6.1,1.3,40.6,6.3,41509,5.5,3.3
10.5,1.2,16.5,2.9,58227,4.7,1.4
35.8,5.9,37.9,37.5,16942,11.6,1.8
8.3,4.8,34.9,18,26347,8.6,3.7
23.1,2.3,34.2,10.8,37519,11,15.2
9.5,1.9,26.5,11,29402,4.7,5.6
5.9,2.3,40.6,13.5,31659,7.3,4.7
12.3,4.4,34.6,18.7,23617,10.6,3.3
16.6,3.9,23.4,9,33364,9,5.8
6.4,1.9,34.4,13.5,27280,9,4.8
7.1,0.2,25.5,5.4,51615,4.5,1
17.3,4.8,32.3,25.6,24969,11.2,4.9
11.8,0.6,20.4,4.3,71403,4.5,0.7
14.6,5.8,30.4,25.7,20489,9.3,4.7
5.1,0.6,36.6,8.5,38337,7.4,0
9.5,3.1,25.6,12.5,35503,6.8,5
18.6,10,36.9,37,15246,11.5,7
12.4,3.8,39.7,18.2,24941,7.5,3
5.2,0.7,38.7,5.1,40107,7.8,3.5
10.8,5.6,31.6,22,26713,10.3,4.1
15.1,7,38.3,19.6,21375,7.9,5.8
16.1,6.9,33.7,31.8,17577,11.9,5.1
11.1,1.4,21,7.1,60593,5.7,4.8
15.3,6.8,41.9,33.4,15898,7.8,10.7
27.2,10.4,35.2,44.3,15467,13,11.7
21.6,3.8,22.9,11.2,41488,10.7,12.7
19.1,8.4,36.3,41.9,15411,12.9,12.7
20.8,17.4,40.4,54.1,12014,14,10.8
28.1,17.6,33.1,58.7,10697,11.5,11.1
3.1,1.1,37,4.5,34221,6.9,2.2
13,8.5,40.5,36.4,16145,14.2,16.6
9.8,8.7,38.7,39.6,16938,13.5,5.9
23,13.2,39.8,48.2,13138,11.2,11.1
5.9,3.4,36.4,18.5,23920,9.6,9.4
17.1,11.2,32.1,34.9,20355,9,4.7
22.2,6.5,40,31.6,14405,11.9,22.4
25.3,2.2,40,13.7,20320,19,45.2
18.7,8.3,42.5,35.5,15347,14.5,10.7
13.7,0.8,39.4,10.9,26185,14.9,19.9
17.2,3.2,26.7,18.5,29026,7.5,8.6
22.7,7.9,28.8,18.1,23714,7.5,7.7
20.1,1.4,42,15.6,19007,21,32.2
15.7,1.1,42.4,15.6,19709,18.3,38
12.1,4.4,41.6,17.9,22561,9.6,6.9
22.7,4.6,22.2,13.6,32355,7.7,5.4
9.5,4.2,36.7,18.3,22078,8.8,12.4
9,2.6,39.5,19.4,24684,8.1,9.9
24.5,6,41.4,21.9,15506,11.8,41.3
12,1.8,42.3,11.2,28977,17.2,19.5
28.3,1.8,37.6,17.9,18928,17.3,31.1
28.3,2.7,41.7,19.4,22056,20.6,32.1
24.3,3.3,42.2,22.6,16228,17,43.9
24.5,4.1,42.1,19.5,16022,24.2,37.6
30.6,12.2,42,42.4,12524,17.4,26.6
16.7,0.6,41.9,13.3,23495,16.6,22.1
22.5,5.5,40.4,18.6,13756,23.4,70.3
28,5.9,43.1,28.2,15393,17.7,36.9
39.1,4.9,40.9,28.3,13087,23.2,44.6
32.3,6.9,40.9,30.3,10559,34.7,47.2
38.1,3.5,40.5,17.6,19312,26.6,18.9
12.8,5.8,35,28.4,21257,10.8,8.6
25.6,4.2,42.9,17.9,17213,18.9,49.7
32.6,11.2,38.3,36.8,13391,12.3,29
31.5,2.9,37.6,14.9,18366,17.7,33.4
19.5,3.1,40.9,17.4,17974,17.8,40.9
39.7,7.5,43.2,26.2,13596,16.4,38.4
38.6,7.2,40.9,30.4,12548,18.5,46.7
